序号,户型-房间,户型-厅,户型-厨房,户型-卫生,建筑面积,朝向,装修,电梯,总楼层,所处层数,建筑类型,建筑结构,小区,经度,纬度,地址,建筑时间,价格（万）
43,2,2,1,1,90.17,南,毛坯,有,低,14,板楼,两梯六户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,342
44,1,1,1,1,63,南,精装,有,低,12,板楼,一梯两户,绿地蔷薇九里(公寓),121.236356,31.064969,广富林路1518弄,2009,273
45,3,2,1,2,137.05,南,精装,有,中,14,板楼,一梯两户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,650
46,3,3,1,2,136.78,南,精装,有,高,12,板楼,一梯两户,绿地蔷薇九里(公寓),121.236356,31.064969,广富林路1518弄,2009,580
47,3,2,1,2,154.89,南,毛坯,有,中,22,板楼,一梯两户,松云水苑(公寓),121.244126,31.04927,文翔路928弄,2005,500
48,4,2,1,2,125.41,南,精装,有,低,18,板楼,一梯两户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,588
49,4,2,1,2,170.5,南,精装,有,低,22,板楼,一梯两户,信达蓝爵,121.248677,31.065979,淡家浜街99弄,2013,500
50,3,2,1,2,158.75,南,精装,有,高,27,板楼,两梯十一户,星辰园(公寓),121.236346,31.058065,梅家浜路1505弄,2004,670
51,4,2,1,2,126.8,南,精装,有,高,12,板楼,一梯两户,绿地蔷薇九里(公寓),121.236356,31.064969,广富林路1518弄,2009,510
52,2,1,1,1,60.7,南,精装,有,低,11,板楼,一梯两户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,263
53,2,1,1,1,73.95,南,精装,有,低,21,板楼,一梯两户,万科梦想派,121.249212,31.067068,淡家浜街88弄,2014,320
54,2,1,1,1,65.24,南,其他,有,低,18,板楼,两梯四户,星辰园(公寓),121.236346,31.058065,梅家浜路1505弄,2004,290
55,3,2,1,2,171.23,南 东南,毛坯,有,中,17,板楼,两梯两户,誉品谷水湾,121.232503,31.063333,龙马路185弄,2008,796
56,3,1,1,2,113.23,南,精装,有,低,18,板楼,两梯四户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,460
57,4,2,1,2,255.26,南 北,毛坯,无,低,3,板楼,一梯四户,上尚缘,121.190168,31.049744,文翔路3588弄,2010,630
58,3,2,1,2,135.07,南 北,精装,有,高,17,板楼,两梯三户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,618
59,2,2,0,2,125.89,南,毛坯,有,低,14,板楼,一梯两户,松云水苑(公寓),121.244126,31.04927,文翔路928弄,2005,336
60,3,2,1,2,135.45,南 北,精装,有,低,14,板楼,一梯两户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,599
61,2,2,0,1,104.41,南,毛坯,有,中,14,板楼,一梯两户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,450
62,3,2,1,2,172.13,南,其他,有,高,17,板楼,两梯两户,誉品谷水湾,121.232503,31.063333,龙马路185弄,2008,815
63,1,1,1,1,62.25,西南,其他,有,中,11,塔楼,两梯十一户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,210
64,2,2,1,1,90.48,南,精装,有,中,14,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,398
65,3,2,1,1,89.25,南 北,精装,有,中,18,板楼,两梯三户,莱顿小城,121.252759,31.071153,"辰花路839弄, 茸盛路594号",2006,364
66,3,2,0,1,90.1,南,其他,有,低,18,板楼,一梯两户,首创锦悦,121.22517,31.072295,"云恩路58弄, 云恩路59弄",2013,380
67,2,2,1,1,81.04,南,精装,有,低,11,板楼,一梯两户,绿地诺丁山(公寓),121.192921,31.054567,文宇路88弄,2010,305
68,3,2,1,2,112.05,南,毛坯,有,中,11,板楼,一梯两户,绿地蔷薇九里(公寓),121.236356,31.064969,广富林路1518弄,2009,500
69,5,3,1,4,252.54,南,精装,有,高,24,板楼,两梯三户,松云水苑(公寓),121.244126,31.04927,文翔路928弄,2005,860
70,2,2,2,1,90.48,南,精装,有,高,14,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,380
71,3,2,1,2,137.54,南,精装,有,高,14,板楼,一梯两户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,618
72,1,1,1,1,59.72,东北 南,精装,有,中,14,板楼,两梯六户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,260
73,1,1,1,1,59.7,南,精装,有,低,14,板楼,两梯四户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,260
74,1,1,1,1,63.84,南,简装,有,低,18,板楼,两梯四户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,268
75,2,2,1,1,106,南 北,精装,有,低,14,板楼,一梯两户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,478
76,1,1,1,1,63,南,其他,有,低,18,板楼,两梯四户,御上海,121.240489,31.054934,谷阳北路2399弄,2009,263
77,3,1,1,1,89.82,南,简装,有,低,18,板楼,两梯六户,保利西子湾,121.241032,31.066142,"广富林路1188弄, 广富林路1202号",2008,370
78,3,2,1,1,106.12,南,精装,有,低,14,板楼,两梯四户,三湘四季花城,121.233711,31.060553,"广富林路1599弄,梅家浜路1508弄",2006,478
79,2,2,1,1,87.14,东南 南,简装,有,低,12,板楼,两梯四户,绿地蔷薇九里(公寓),121.236356,31.064969,广富林路1518弄,2009,350
